;Nombre;Nombre 1;Nombre 2;;Nombre;Tesis;Keywords;Resumen;Fecha;Año;Idioma;Citas;Director;;Director;Codirector;Codirector;Grupo de Investigación
40;Hulpa Zuñiga, Andrés Mauricio;Hulpa-Zuñiga, Andrés Mauricio;Hulpa-Zuñiga, An;Hulpa-Zuñiga, An.;Hulpa-Zuñiga, An.;Algoritmo con múltiples criterios de evaluación aplicado en la solución de problemas de dimensionamiento de espacios de almacenamiento en empresas de edificación del sector de la construcción;"Industria de la construcción
Almacenes generales de depósito
Distribución física de mercancías
Manejo de carga";Este proyecto de investigación contiene el desarrollo metodológico del diseño de un algoritmo aplicado a la solución de problemas de dimensionamiento de espacios en el proceso de almacenamiento en empresas del sector de la construcción en Colombia. Este problema se justifica bajo el grado de informalidad que se presenta al momento de asignar áreas de almacenamiento, sin considerar múltiples parámetros y restricciones relacionados con el producto y las disposiciones de área que caracterizan a este sector. En un estudio previo se identificó que el grado de informalidad al momento de asignar áreas de almacenamiento genera en promedio un 87% de utilización de la capacidad de almacenamiento en términos de área y volumen y tan sólo un 67% de pedidos completamente entregados para una unidad de carga específica que son pallet. Estos resultados son validados mediante la evaluación de la utilización de la capacidad de almacenamiento en términos de área y los pedidos completamente entregados para diferentes unidades de carga;2014;2014;Español;0;López Bello, César Amilcar;López-Bello, César;Lopez-Bello, Ce.;;;Modelos Matemáticos Aplicados a la Industria MMAI
41;López Díaz, Fabio Germán;López-Díaz, Fabio Germán;López-Díaz, Fa;López-Díaz, Fa.;López-Díaz, Fa.;Propuesta del modelo EFQM para la Unidad de Atención al Ciudadano del Ministerio de Educación Nacional de Colombia;"Relaciones con los clientes
Servicios de información
Administración publica";"En las últimas tres décadas se ha identificado la falta de estrategias robustas en las entidades oficiales que promuevan lineamientos, herramientas y protocolos en materia de atención al ciudadano, en donde no se precisa con claridad los alcances en la prestación del servicio, por falta de procesos funcionales, de sistemas de información y de infraestructura, que permitan monitorear y hacer seguimiento a la satisfacción del usuario; por lo anteriormente planteado, se propone en este proyecto, un modelo de gestión de calidad, basado en el Modelo de EFQM para la Unidad de Atención al Ciudadano del Ministerio de Educación Nacional de Colombia";2014;2014;Español;0;Umaña, Flor de María;Umaña-Flor de;Umaña-Villamizar,Fl;;;Grupo de Investigación en Competitividad y Desarrollo Empresarial - GICDE
42;Moreno Guavita, María Juliana;Moreno-Guavita, María Juliana;Moreno-Guavita, Ma;Moreno-Guavita, Ma.;Moreno-Guavita, Ma.;Diseño de un modelo de control de impactos negativos ambientales y sociales en la explotación a gran escala de LA MINA El Hatillo En El Municipio El Paso-Cesar;"Protección del medio ambiente
Industrias de minerales
Análisis del impacto ambiental
Gestión ambiental
lndustrias";Esta investigación pretende proporcionar una herramienta para formular y analizar políticas para el control de impactos ambientales y sociales de los proyectos mineros carboníferos, tomando como base la mina El Hatillo en el municipio El Paso - Cesar. Este modelo analiza la incidencia que tienen las actividades mineras en parámetros ambientales y sociales, que al identificar alteraciones en estos, se permita evaluar políticas o decisiones de regulación gubernamental para lograr una sostenibilidad entre la actividad minera, el ambiente y la sociedad. Es de esperar que este documento porte a investigaciones futuras en el control de impactos ambientales y sociales y se un insumo a la ejecución de modelos de simulación donde se analicen problemas ambientales, sociales y económicos presentes en la industria nacional;2014;2014;Español;0;Javier Meza, Joaquín;Javier-Meza, Joaquín;Meza-Alvarez, Jo.;;;Modelación en Ingeniería de Sistemas (MIS)
43; Porras Boada, Ricardo Enrique;Porras-Boada, Ricardo Enrique;Porras-Boada, Ri;Porras-Boada, Ri.;Porras-Boada, Ri.; Análisis del transporte público individual en la ciudad de Bogotá y su influencia en la contaminación ambiental por monitoreo de un modelo de simulación;"Tránsito local
 Transporte urbano
 Ingeniería de transporte
 Transporte urbano";"El proyecto plantea el análisis del transporte público individual en Bogotá y su influencia en la contaminación ambiental; el análisis se realiza al sistema de transporte público, el cual está dividido en tres categorías a saber: colectivo (buses tradicionales), masivo (Transmilenio) y transporte público individual (taxis), siendo este último la base de investigación. Este trabajo conlleva a una simulación de índole computacional que materializa la situación actual de los taxis y que ayuda a la simulación de una posible solución al caos vehicular en la ciudad de Bogotá";2014;2014;Español;0; Mesa Reyes, José Antonio;Mesa-Reyes, José;Mesa-Reyes, Jo.;;;Otros
44; Real Flórez, Guillermo Enrique;Real-Flórez, Guillermo Enrique;Real-Flórez, Gu;Real-Flórez, Gu.;Real-Flórez, Gu.;Formulación metodológica para disminuir el riesgo en la etapa de ejecución de proyectos;"Control de proyectos
Elaboración de proyectos
Planificación estratégica
Análisis de costos";La gestión de proyectos implica la forma como el tomador de decisiones (gerente de proyecto) planea, programa y desarrolla las actividades inherentes a un proyecto con el fin de cumplir sus objetivos y metas, enmarcándose en parámetros de calidad costo y tiempo, satisfaciendo las expectativas de las partes interesadas (cliente, PMO (Project Management Office), Equipo administrador del proyecto, Agente externos, usuarios). El desarrollo de las actividades ejecutadas en un proyecto, sin importar su naturaleza, está sujeto a que la diferencia entre lo planeado y lo ejecutado tienda a ser cierto. Ya sea por exceso o por defecto, esta variación está asociada al riesgo existente de no cumplir exactamente con el estándar establecido. La gestión de riesgos en proyectos estudia la forma como el gerente del proyecto puede disminuir la generación de riesgo, aumentando el análisis en la planeación o en la ejecución del proyecto;2014;2014;Español;0;Pinzón Rueda, Wilson Alexander;Pinzón-Rueda, Wilson;Pinzón-Rueda, Wi.;;;Armonico
45;Rosero Arenas, Luis Enrique;Rosero-Arenas, Luis Enrique;Rosero-Arenas, Lu;Rosero-Arenas, Lu.;Rosero-Arenas, Lu.;Desarrollo modelo de productividad de factor total y factor parcial para la medición en la cadena productiva agroindustrial del subsector floricultor de la región Bogotá-Cundinamarca, mediante evaluación de sus indicadores usando técnicas estadísticas 2001- 2012;"Industrias agropecuarias
Floricultura
Control de la producción
Procesos agrícolas
Competitividad";En esta investigación se muestra el impacto en productividad y competitividad para el subsector de la floricultura en la cadena productiva Región de Bogotá-Cundinamarca identificando los factores de producción, trabajo, desarrollo de producto, calidad e innovación, sobre los que se identifican los efectos económicos, las causas y consecuencias. Esta investigación se realizó consultando fuentes secundarias que son documentos, revistas, paginas virtuales, estadísticas de organismos oficiales y privados relacionados con el sector, entre otras, que suministren información del sector floricultor. Posteriormente, se procederá al ordenamiento y organización de su información, la utilización de técnicas estadísticas que conduzcan hacia resultados, ejecutando un análisis de sensibilidad y conclusiones para presentar en capítulos;2014;2014;Español;0;Umaña Villamizar, Flor de María;Umaña-Villamizar, Flor;Umaña-Villamizar,Fl;;;Grupo de Investigación en Competitividad y Desarrollo Empresarial - GICDE
46;Salazar Morales, Omar;Salazar-Morales, Omar;Salazar-Morales, Om;Salazar-Morales, Om.;Salazar-Morales, Om.;Método de diseño y optimización de controladores difusos Fis- Bbr cuasi-estándar por medio de lógicas clásicas y trivalente de Kleene;"Optimización matemática
Análisis de sistemas
Programación (Matemáticas)
Ingeniería industrial Sistema de Inferencia Difusa basado en Relaciones Booleanas (FIS-BBR)";En este trabajo de grado se propone un método de diseño y optimización para un tipo de sistema difuso aplicado al control conocido como Sistema de Inferencia Difusa basado en Relaciones Booleanas (o FIS-BBR por sus siglas en inglés). La propuesta corrige problemas matemáticos que tenía el método anterior y amplía el nombre a Sistema de Inferencia Difusa basado en Relaciones Booleanas y Klee-neanas (o FIS-BKR por sus siglas en inglés). Un método de diseño y optimización para este tipo de sistemas es importante porque minimiza costos de implementación, incrementa la confiabilidad del sistema y lo hace más fácil de entender en su funcionamiento. Las lógicas usadas en este trabajo son tres: lógica clásica, lógica difusa cuasi-estándar y lógica trivalente de Kleene. La propuesta de diseño optimización para la lógica difusa cuasi-estándar se hace por medio de la lógica trivalente de Kleene dado que ésta última tiene la misma estructura algebraica que la primera. La propuesta se enfoca en la parte teórica matemática y su aplicación al diseño en ingeniería;2014;2014;Español;3;Soriano Méndez, José Jairo;Soriano-Méndez, José;Soriano-Mendez, Jo.;;;LABORATORIO DE AUTOMATICA, E INTELIGENCIA COMPUTACIONAL ( LAMIC)
47;Suárez Pardo, Claudia Mireya;Suárez-Pardo, Claudia Mireya;Suárez-Pardo, Cl;Suárez-Pardo, Cl.;Suárez-Pardo, Cl.;Comparación de sistemas de gestión industrial y de aula usando el modelo de cibernética de tercer orden;"Teoría del conocimiento
 Cibernética
 Organización industrial
 Ambiente educativo";Esta investigación compara los sistemas de gestión industrial y los sistemas de gestión de clase en el aula, para proveer una base para la gestión de los sistemas educativos, usando los principios disponibles en los sistemas de gestión industrial. Se realiza una comparación sistémica de gestión industrial y sistémica de clase en el aula, por el uso de la cibernética de tercer orden e ingeniería de métodos, para proveer una base para extender los principios de la gestión de los sistemas industriales a los sistemas de clase en el aula, en estudiantes de Ingeniería Industrial en Colombia;2014;2014;Español;0;Pinzón Rueda, Wilson Alexander;Pinzón-Rueda, Wilson;Pinzón-Rueda, Wi.;;;Armonico
; Vega Flórez, Jimmy Alexander;Vega-Flórez, Jimmy Alexander;Vega-Flórez, Ji;Vega-Flórez, Ji.;Vega-Flórez, Ji.;Evaluación del esfuerzo muscular generado por el uso de las herramientas de corte en el cultivo y postcosecha del sector floricultor;"Productividad del trabajo
Ergonomía
Floricultura
Terapia del movimiento";Se desarrolló un estudio experimental de medidas repetidas en campo con 30 trabajadores que realizan tareas de corte en el área de cultivo y en el área de postcosecha, actividad que se realiza en la actualidad con herramientas que no están diseñadas para los trabajadores del sector. Lo que se busca es comparar el esfuerzo realizado por los empleados de estas áreas en las tareas de corte con tres tipos de tijeras disponibles en el mercado y que son comunes en la industria, con el fin de evaluar el esfuerzo desarrollado, las posturas adoptadas en la actividad de corte, el uso correcto de las herramientas disponibles en el entorno de trabajo y la incomodidad percibida durante el desarrollo de la actividad;2014;2014;Español;0;Beltrán Rodríguez, Carlos Alirio;Beltrán-Rodríguez, Carlos;Beltran-Rodriguez, Ca.;;;SISTEMAS EXPERTOS Y SIMULACIÓN (ARCO SES)
49;Romero Quiroga, Olga Rosana;Romero-Quiroga, Olga Rosana;Romero-Quiroga, Ol;Romero-Quiroga, Ol.;Romero-Quiroga, Ol.;Modelo de Planeación de Capacidades para Medir el Impacto en el Desempeño Logístico de la Gestión Colaborativa en Centros de Distribución;"Modelo Planeación de Capacidades
Medir el Impacto en el Desempeño Logístico
Dinámica de Sistemas
Indicadores Financieros";"Este trabajo presenta un modelo basado en dinámica de Sistemas para la planeación de capacidades utilizando estrategias colaborativas en centros de distribución de un operador logístico, que permite evaluar el desempeño del sistema a través de indicadores financieros, de utilización de recursos y el crecimiento de la demanda, mostrando los beneficios no solo para el operador logístico, sino para todos los integrantes de las redes logísticas, medida como la mejora potencial en las costas logísticas.
 El modelo desarrollado es un aporte para las partes interesadas en la administración y operación de las cadenas de valor, en la medida que brinda elementos pertinentes para la toma de decisiones a nivel táctico y estratégico, permitiendo la planeación de capacidades de los recursos en el centro de distribución, combinado con la estrategia a nivel de infraestructura, incluyendo condiciones de altura del almacén y definición de tiempos de contrato de arrendamiento, así como el afianzamiento de alianzas estratégicas dirigidas a la evolución y crecimiento del negocio, como resultado de una mayor competividad en el mercado.";ago-15;2015;Español;2;Rueda Velasco, Feizar Javier;Rueda-Velasco, Feizar;Rueda-Velasco, Fe.;Mauricio Becerra Fernández;Becerra-Fernandez, Ma.;Otros
50;Luque y Guzmán Sáenz, Mario Alfonso;Luque-Guzmán Sáenz, Mario Alfonso;Luque-Guzmán Sáenz, Ma;Luque-Guzmán Sáenz, Ma.;Luque-Guzmán Sáenz, Ma.;Modelo de Gestión del Conocimiento para Empresas Procesadoras de Alimentos Lácteos en Colombia: Aplicación en Productos Naturales de la Sabana Alquería S.A.;"Modelo Gestión del Conocimiento
Procesadoras Alimentos Lácteos
Rendimiento y Desempeño Empresas Procesadoras Lácteos
";"La gestión del conocimiento (GC) representa una estrategia que contribuye a mejorar el rendimiento y el desempeño de las empresas procesadoras de alimentos lácteos en Colombia. Sin embargo, la cuantificación y análisis de esta contribución sigue siendo objeto de estudio en el ámbito académico y empresarial, debido a la naturaleza intangible y poco estructurada de las variables vinculadas a la GC. Con este propósito se han diseñado distintos modelos generales de GC, pero no se han desarrollado modelos específicos para el sector de las empresas procesadoras de alimentos lácteos, sobre la base de una suficiente evidencia empírica. 
 La presente investigación tiene como objetivo plantear un modelo de Gestión del Conocimiento para Empresas procesadoras de alimentos lácteos en Colombia. A tal fin, se seleccionó el sector de procesamientos lácteos en Colombia. 
 La investigación ha permitido caracterizar al sector lácteo. La GC ocurre en éste sector del procesamiento de alimentos lácteos en forma de ciclo, en el cual el conocimiento se origina, almacena, transfiere, aplica y protege con el propósito de alcanzar los objetivos de la misma, lo cual es potenciado por una estrategia organizacional innovadora y el desarrollo de las TIC. 
 Se concluye, que el modelo es capaz de representar con alto grado de validez, fiabilidad y consistencia, el efecto positivo de la GC sobre el incremento de los resultados empresariales. A tal fin, se deben aplicar de manera combinada y equilibrada las prácticas de GC seleccionadas tanto en la dimensión estratégica, cómo en la dimensión funcional. Se recomienda, la evaluación y estandarización de la metodología desarrollada a través de su aplicación en diferentes contextos productivos. 
 Finalmente, el Modelo de Gestión del Conocimiento en las Empresas procesadoras de alimentos lácteos en Colombia, representa una contribución original. El mismo se mantiene en una metodología innovadora para cuantificar los constructos Gestión del Conocimiento y Percepción de Resultados. Estos constructos se estimaron a través de instrumentos de medición (encuestas) fiables y válidos, cuyos resultados determinantes representan los elementos del modelo. Las relaciones existentes entre éstos indicadores fueron validadas por medios estadísticos."; ago-2015;2015;Español;0;Medina García, Víctor Hugo;Medina-García, Víctor;Medina-Garcia, Vi.;;;Grupo internacional en informática y comunicaciones para la gestión del conocimiento GICOGE
51;Joya Suárez, César Leonardo;Joya-Suárez, César Leonardo;Joya-Suárez, Cé;Joya-Suárez, Cé.;Joya-Suárez, Cé.;Análisis y Diseño de Políticas para el Control y Regulación Hidrográfica del Cauce del Rio Bogotá en las Cuencas Alta, Media y Baja Utilizando Dinámica de Sistemas;"Control y Regulación Hidrográfica
Cuencas Altas, Media y Baja
Dinámica de Sistemas
Río Bogotá";El Proyecto Presenta el Análisis, Diseño y Construcción de Políticas de Regulación y Control Hidrográfico Mediante Pruebas y Resultados de un Modelo Basado en Dinámica de Sistemas, en el Río Bogotá, en las Cuencas Alta, Media y Baja. Se Tienen en Cuenta 10 áreas principales: Fenómenos del Niño y Niña, Precipitaciones, Caudal de Afluentes, Escorrentía y Aguas Subterráneas, Inundaciones, Consumo, Embalse o Causes, Descargas y Desagües evapotranspiración, Nivel de Control y Balance Hídrico, todo esto Basado en Si Hay o No Fenómenos Climáticos.; ago-2015;2015;Español;0;González Rodríguez, Leonardo José;González-Rodríguez, Leonardo;Gonzalez-Rodriguez,Le.;;;Modelos Matemáticos Aplicados a la Industria MMAI
52;Peña Flórez, Luis Alfonso;Peña-Flórez, Luis Alfonso;Peña-Flórez, Lu;Peña-Flórez, Lu.;Peña-Flórez, Lu.;Modelo de Optimización Multicriterio para la Evaluación y la Selección de Proveedores en Cadenas de Suministro;"Modelo Optimización Multicriterio
Evaluación y Selección Proveedores
Análisis Jerárquico
Algoritmo";"El presente proyecto tiene como finalidad investigar el problema de selección de proveedores, el cual se clasifica como un problema multicriterio, que se aborda utilizando dos técnicas: Primero el proceso de análisis jerárquico como técnica de aproximación; y Segundo La programación lineal entera mixta, utilizada cómo técnica de optimización. La innovación en este proyecto tiene que ver con la inclusión de diferentes cantidades de lotes de cada uno de los productos por cada uno de los proveedores, con los cuales los proveedores pueden satisfacer las necesidades de una empresa.
 
 La validación de la simulación del proceso de análisis jerárquico se realiza aplicando estadística descriptiva e inferencial, del mismo modo la validación del modelo de programación lineal se realiza con un análisis de sensibilidad, todo esto apunta a que el procedimiento propuesto maximiza la eficiencia y ayude a tomar mejores decisiones.";ago-15;2015;Español;0;López Bello, César Amilcar;López-Bello, César;Lopez-Bello, Ce.;;;Modelos Matemáticos Aplicados a la Industria MMAI
53;Riaño Lozano, Claudia Marcela;Riaño-Lozano, Claudia Marcela;Riaño-Lozano, Cl;Riaño-Lozano, Cl.;Riaño-Lozano, Cl.;Diseño de un Modelo de Transferencia del Conocimiento para el Manejo del Sector Autopartista en Bogotá;"Transferencia del Conocimiento
Conocimiento Tácito
Conocimiento Explícito
Clúster
Mejoramiento Continuo";"Este documento contiene la propuesta de la utilización de clúster en la transferencia del conocimiento, utilizando la identificación cuantificación de las empresas vinculadas a la cadena productiva del sector de autopartes en la ciudad de Bogotá. 
 Para ello se realiza una revisión literaria de los conceptos utilizados en la transferencia de conocimiento, gestión de conocimiento, tipos de conocimiento abarcando diversas perspectivas, luego se mostrará cómo se encuentra el sector autopartista en Bogotá. Otro aspecto trata sobre la recopilación de los diferentes modelos de transferencia y clúster del sector autopartista en una contextualización internacional y nacional de la cadena productiva del sector autopartista, centrándose en las pymes metalmecánicas, con el propósito de definir el clúster a desarrollar y por ende a impactar. 
 Por último se propone un modelo de transferencia del conocimiento en organizaciones e individuos vinculados al clúster de metalmecánica y los pasos para validarlo, entendiéndolo como un modelo de mejoramiento continuo.";ago-15;2015;Español;1;Medina García, Víctor Hugo;Medina-García, Víctor;Medina-Garcia, Vi.;Héctor Rene Alvarez Laverde;Alvarez-Laverde, He.;Grupo internacional en informática y comunicaciones para la gestión del conocimiento GICOGE
54;Hurtado Vergel, Oscar;Hurtado-Vergel, Oscar;Hurtado-Vergel, Os;Hurtado-Vergel, Os.;Hurtado-Vergel, Os.;Caracterización de las comunidades negras, afrocolombianas, raizales y palenqueras, para la formulación de políticas del deporte;Caracterización;Esta iniciativa de investigación surge de la necesidad de conocer los rasgos más relevantes de las comunidades afrodescendientes en Colombia y su participación en la ejecución de estrategias y políticas de fomento al deporte, al no existir documentos de análisis de éstas comunidades en el área deportiva, se propone el documento como herramienta de exploración. Es un aporte dirigido a la comunidad en general, que permita encontrar elementos de juicio valorativo y una visión general de este grupo étnico en el territorio nacional, que a futuro permita la formulación de acciones y estrategias para el desarrollo integral de la población afro, negra, raizal y palenquera.;25-ago-15;2015;Español;0;Romero Villalobos, Oswaldo;Romero-Villalobos, Oswaldo;Romero-Villalobos, Os.;;;Gestión e Investigación en Informática, Redes y Afines GIIRA
55;Perea González, Viviana Alexandra;Perea-González, Viviana Alexandra;Perea-González, Vi;Perea-González, Vi.;Perea-González, Vi.;Diseño de un Procedimiento Basado en Algoritmos Genéticos para dar Solución al Problema de Scheduling Admitiendo Rechazos en Escenarios Flexible Flow Shop;"Scheduling
Algoritmos
Flexible
Genéticos
Shop
Flow";Esta investigación se enfoca en el problema de aceptación de órdenes y Scheduling en un escenario flexible flow shop con máquinas no relacionadas y maximizando las utilidades totales, que involucran la ganancia por las órdenes recibidas, la penalización por las órdenes rechazadas y el costo del tiempo ocioso de los recursos productivos. Para resolverlo, inicialmente se formula el modelo de programación entera mixta MIP que caracteriza formalmente el escenario y que permite resolver problemas de hasta 8 órdenes y 5 estaciones. Debido al carácter combinatorio del mismo, se diseña una herramienta heurística que evalúa la conveniencia de las órdenes que arriban al sistema, brindando una solución inicial al problema. Con esta herramienta y un algoritmo genético se diseña el procedimiento propuesto de la investigación, que busca aprovechar los beneficios de la recombinación de soluciones y brinda de acuerdo con las pruebas computacionales, soluciones a problemas de hasta 30 órdenes y 10 estaciones en tiempos razonables.;8-oct-15;2015;Español;0;Torres Acosta, Jairo Humberto;Torres-Acosta, Jairo;Torres-Acosta, Ja.;;;Modelos Matemáticos Aplicados a la Industria MMAI
56;Sanchez Silva , Rocio Andrea;Sanchez-Silva , Rocio Andrea;Sanchez-Silva , Ro;Sanchez-Silva , Ro.;Sanchez-Silva , Ro.;Construcción de un Modelo Estocástico para la Eficiencia Global de los Equipos (OEE);"Eficiencia
OEE
árbol de pérdidas
modelo estocástico";"En los entornos de eficiencia de operacional se utiliza una métrica que permite medir la eficiencia global de los equipos y de las líneas de producción (OEE). Esta es una métrica desarrollada en entornos TPM que integra la disponibilidad, el rendimiento y la calidad obtenida en los equipos. Este indicador que es estratégico, que bien utilizado puede ser muy robusto para la planificación y toma decisiones, en general no se utiliza de forma apropiada, porque solo se calcula como KPI de referencia, sin entrar a profundizar es el análisis del comportamiento.
 El objetivo del trabajo es presentar un modelo estocástico propuesto para el OEE, el cual permite evaluar no solo el comportamiento promedio del OEE (como actualmente se hace), sino también en su variación, permitiendo obtener un análisis robusto de la eficiencia de los procesos y equipos. Se analiza la estocasticidad del OEE, considerando que él es afectado por múltiples factores inciertos, que ocurren dentro de la operación de un equipo o una línea de producción. A partir del modelo propuesto, se hacen varias consideraciones prácticas para su uso, aplicación y toma de decisiones.";11-oct-15;2015;Español;0;Benitez Forero, Jaime Antonio;Benitez-Forero, Jaime;Benitez-Forero, Ja.;Héctor Rene Álvarez Laverde;Alvarez-Laverde, He.;BIOINGENIERIA (GIBIUD)
57;Beltrán Bernal, Nestor Andrés;Beltrán-Bernal, Nestor Andrés;Beltrán-Bernal, Ne;Beltrán-Bernal, Ne.;Beltrán-Bernal, Ne.;Propuesta metodológica para la planeación de costos como indicador de eficiencia en la formulación de proyectos de ingeniería;"Costos
Servicios Web";Actualmente el entorno económico industrial requiere del uso de herramientas de planeación basadas en el uso de proyecciones, pronósticos y técnicas de ajuste, la experiencia misma de los equipos gestores es vital para garantizar el éxito tanto en la viabilidad presupuestal, como en la fase ejecutiva de cada proyecto;2015;2015;Español;0;;;;;;Otros
58;Castillo Monroy, Martha Liliana;Castillo-Monroy, Martha Liliana;Castillo-Monroy, Ma;Castillo-Monroy, Ma.;Castillo-Monroy, Ma.;Análisis prospectivo de la educación en ingeniería industrial Bogotana al horizonte del año 2024;"Educación superior
 Educación
 Ingeniería Industrial
 Tecnología educativa";Este documento contiene la propuesta para la aplicación de estrategias a corto y mediano plazo que permitan convertir los programas de ingeniería industrial de la ciudad de Bogotá, en programas líderes y participes activos . del desarrollo socioeconómico del país y de la ciudad como ciudad capital. Para esto se realiza una revisión literaria de los conceptos usados en la ingeniería industrial de la historia de la ingeniería industrial, la conceptualización y aplicación de la prospectiva tecnológica. En una siguiente etapa se realiza una descripción de las principales características de os programas de ingeniería industrial ranqueados a nivel internacional en los primeros puestos, de igual manera se realiza esta misma descripción de características en los programas de ingeniería industrial mejor ranqueados en Suramérica y los acreditados de alta calidad en Bogotá;2015;2015;Español;0;Bohórquez, Luz Esperanza;Bohórquez-Luz Esperanza;Bohórquez-Arevalo, Lu.;;;SISTEMAS EXPERTOS Y SIMULACIÓN (ARCO SES)
59;Flechas Muñoz, Jazmín;Flechas-Muñoz, Jazmín;Flechas-Muñoz, Ja;Flechas-Muñoz, Ja.;Flechas-Muñoz, Ja.;Aprendizaje Organizacional y sus obstáculos  sistemas Nacionales de Investigación;"Administración del conocimiento
Aprendizaje organizacional
Desarrollo económico";En este texto se modela el aprendizaje organizacional con el modelo de Raúl Espejo y el modelo de cibernética de tercer orden de Nova y Pinzón. Para ello, primero se revisa y compara los modelos declarados en las leyes de los países y usando el coeficiente de correlación se identifica la consistencia en: el propósito, los objetivos o metas de los sistemas, las acciones a ejecutar, los criterios de evaluación, los supuestos declarados, los recursos financieros, humanos y técnicos y los productos esperados;2015;2015;Español;0;Pinzón Rueda, Wilson Alexander;Pinzón-Rueda, Wilson;Pinzón-Rueda, Wi.;;;Armonico
60;García Bello, Fredy Rolando;García-Bello, Fredy Rolando;García-Bello, Fr;García-Bello, Fr.;García-Bello, Fr.;Diseño de un entorno de aprendizaje significativo para Ingeniería Industrial utilizando el sistema Prolog Factory;"Dinámica de grupos
Desarrollo científico y tecnológico";Este documento presenta una integración amplia y clara sobre el modelo de Aprendizaje Significativo, el sistema Prolog Factory de FESTO existentes en la Universidad del Bosque y los temas de producción y logística que hacen parte de la carrera de Ingeniería Industrial, para diseñar e implementar un entorno de aprendizaje significativo usando el sistema Prolog Factory;2015;2015;Español;0;Martínez Santa, Fernando;Martínez-Santa, Fernando;Martinez-Santa, Fe.;;;DIGITI - SISTEMAS DIGITALES INTELIGENTES
61;Laverde Gómez, Diana Roció;Laverde-Gómez, Diana Roció;Laverde-Gómez, Di;Laverde-Gómez, Di.;Laverde-Gómez, Di.;"Diseño de modelo de certificación de proveedores de materias primas, en la cadena de abastecimiento del sector de bebidas en Colombia y evaluación de si impacto en los indicadores del cliente
";"Marcas de empresas
Industria y comercio de alimentos
Análisis de costos
Industrias
Materias primas";En las cadenas de abastecimiento a nivel mundial se han venido desarrollando programas que promueven las alianzas e integración entre clientes y proveedores a fin de reducir costos, aumentar la competitividad y calidad de bienes y fortalecer las relaciones, en pro de tener negocios sostenibles en el tiempo. Este trabajo es una investigación que formula un modelo de evaluación y certificación de proveedores, que además como consecuencia permite su desarrollo y que se logró mediante la integración de elementos de diferentes sistemas de gestión que al alinearse, permiten alcanzar una disminución de costos y un aumento en la competitividad del proveedor, visto desde algunos indicadores de gestión del cliente y del mismo proveedor, demostrando así que con el modelo se desarrolla y mejora la organización, se beneficia el cliente y se reducen recursos en modelos de evaluación separados. El modelo ha sido aplicado en al menos 6 empresas proveedores de uno de los sectores más importantes de la industria en Colombia: el sector de bebidas, con resultados de mejora en la cadena, evidenciando así el beneficio de aplicarlo;2015;2015;Español;0;Hernán Jiménez, Álvaro;Hernán-Jiménez, Álvaro;Hernan-Jimenez, Al.;;;Modelos Matemáticos Aplicados a la Industria MMAI
62;Suarez, Orlando de Antonio;Suarez-Orlando de Antonio;#¡VALOR!;#¡VALOR!;Suarez, Or.;Formulación de una metodología de evaluación de la productividad y la competitividad empresarial mediante el uso de análisis envolventes de datos, aplicado a la mediana empresa en el sector textilero de la ciudad de Bogotá;"Industria textil
Regulación del comercio
 Administración de la producción
 Competencia económica";"La globalización como tendencia en la ordenación de los negocios se pierde en la historia del hombre. Desde los contactos con los I primeros grupos humanos para el intercambio de objetos, pasando por los viajes en caravanas de camellos, hasta las estructuradas redes de comercio impuestas por el avance del internet, han presionado a los productores a tener artículos más atractivos para I comercializar y sobrevivir en los mercado, y en un tiempo cada vez más corto. La competitividad esta asociada a la capacidad de participar exitosamente en mercados global izados, generando valor agregado, creación de empleo y otros factores; esto requiere de un adecuado manejo de la planificación, la organización, la dirección y el control de los recursos de la empresa como conceptos básicos de administración. De esta forma se requiere establecer parámetros de medición, que evalúen la eficiencia (deterioro, mejora) administrativa o financiera que tenga la organización en cualquier tiempo";2015;2015;Español;0;López Bello, César Amilcar;López-Bello, César;Lopez-Bello, Ce.;;;Modelos Matemáticos Aplicados a la Industria MMAI
63;Suárez Roldán, Carolina;Suárez-Roldán, Carolina;Suárez-Roldán, Ca;Suárez-Roldán, Ca.;Suárez-Roldán, Ca.;"Propuesta de una metodología para la atención a usuarios en situación de urgencias y emergencia a partir de técnicas integradas de simulación
";"Accidentes
Asistencia en emergencias
Auxilio en desastres
Saneamiento de emergencias";El papel que desempeñan las organizaciones encargadas de atender situaciones de urgencias y emergencias es de vital importancia para el desarrollo y estabilidad de la sociedad colombiana. Estas organizaciones, denominadas agencias de despacho, son las responsables de responder a las solicitudes de los ciudadanos mediante la asignación de recursos o unidades móviles como ambulancias, patrullas de policías, carros de bomberos, entre otros, con el propósito de mejorar el tiempo de respuesta de atención a los usuarios, por lo que este es un indicador de efectividad. La naturaleza y complejidad del incidente puede demandar los servicios de una o más agencias, al igual que el tipo y cantidad de recurso puede variar. Otro aspecto a considerar en la prestación de servicios de urgencia y emergencia son las condiciones de la zona o región. Para esta investigación es de interés la ciudad de Bogotá, debido al crecimiento en la demanda de estos servicios, las condiciones de movilidad en el tráfico y las restricciones de recursos de las agencias de despacho;2015;2015;Español;0;Méndez Giraldo, Germán Andrés;Méndez-Giraldo, Germán;Mendez-Giraldo, Ge.;;;SISTEMAS EXPERTOS Y SIMULACIÓN (ARCO SES)
